GS	GeneList	Qvalues	Direction
CROONQUIST_STROMAL_STIMULATION_UP	FOS FOSB CTGF RGS1 TPM2 NR4A2 THBS2 NNMT SULF1 TSC22D3 RGS2 LOXL1 ACTA2 NOTCH3 DUSP1 SMARCD3 PPP1R15A TGM2 LAMA4 COL6A3 CCL3 OLFM1 BASP1 COL1A2 IGFBP7 SPARC CXCL2 LUM COL6A1 FSCN1 IER3 IL6 CCL4 IER2 CXCL1 IGFBP4 SERPINE1 TGFBI IGFBP3 TPM1 PIM2 NFKBIA NUPR1 GABRA5 GABBR2 VCAN SLC25A4 CXCL3 MYOF GUCY1A2 SPTBN1 TMSB4X HIST2H2AA3 ID1 SFTPB MICAL2 LOX RPS4Y1	0	UP
EBAUER_MYOGENIC_TARGETS_OF_PAX3_FOXO1_FUSION	DES CRYAB TAGLN CASQ2 PALMD SMPX ACTA2 HBEGF FHL1 LDB3 AEBP1 COL6A3 PDLIM7 SGCD MYOM1 ITGB1BP2 MACF1 CTF1 ABLIM3 MRAS MYBPC2 MYL6B BIN1 SGCG MEF2C DTX3 TPM1 MEF2D UTRN MYH3 TNNT3 TNNI2 MYBPH MYL4 MYLPF MYL1 BCAN MYH8 MTSS1 TNNC1 CXCL10 MYBPC1 SYNGR2 TNNI1 MYH1 NEBL TNNC2 PDLIM5 MYO10	0	UP
FARMER_BREAST_CANCER_CLUSTER_2	ESRP1 ASPM MAD2L1 KIF15 PRC1 CENPA KIF4A NEK2 KIF11 CCNA2 CEP55 MELK KIF20A CCNB2 TPX2 NDC80 BUB1B CENPE NUSAP1 MRPL15 MCM4 MTFR1 NCAPG PTTG1 RB1CC1 PRKDC BUB1 RAD54B ARMC1 ATAD2 RRS1 SLC25A32	0	DN
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP	CXCR4 LTF CFD MOXD1 RASSF2 RBMS1 MMP9 RAB31 S100A4 CSTA RHOH COL6A3 IL10RA S100A8 CORO1A ENTPD1 CD48 RGS10 KIAA0922 HCLS1 ITGB2 PTPRC LAPTM5 GMFG LY86 LCP1 DOCK2 TYROBP CD52 LCK CD27 INPP5D CD53 CD2 PRKCB RAC2 APOC1 FCN1 CELF2 C1QB VSIG4 LST1 CD3D TNFRSF1B CD163 SLA AIF1 FCER1G CD8A UBE2L6 ALDOC PIM2 WARS CCND3 CD14 TYMP IFI30 GBP2 GLUL LILRB4 ISG20 PDE6D IFITM1 ACTB CCL5 POLR2A IL4R UBC EIF2AK2 STAT1 ADAM15 USP9X FCGR1A GAPDH SFN HLA-F AOAH RAB27A PSMB8 GZMA LCN2 FABP5 LGALS9 IL10RB	0	UP
IGLESIAS_E2F_TARGETS_UP	OGN SCG2 ADIPOQ IGFBP5 RHOB ANXA1 CXCL13 ACTA2 NID1 CDKN1C CFD CDH5 PMP22 TUBA1A CDO1 ANGPTL2 LPL FBLN2 C3 PKD2 CADM1 COL5A2 ELN DCN LAMA4 LGALS1 COL15A1 COL6A3 SERPINF1 TUBB2A COL4A1 COL1A1 COL6A2 EVL COL1A2 C1QA SPARC LAPTM5 TMEM45A CSRP1 LCP1 TYROBP ITM2A LUM MRC1 CD53 COL18A1 GNAI2 CRTAP CD34 FMO1 C1QB DAB2 RBP1 CD74 LYL1 SERPINH1 IGFBP4 GJA1 GSN TUBB LIMS1 ENPP2 COL3A1 CCND2 SEPT7 APOE NFKBIA S100A13 MFAP2 AKIRIN2 S100A11 AP4S1 ZFAND5 MCM3 ALAS2 TUBA1B ACADL DSTN GAS6 MCM5 NFIB SLC25A4 RBBP7 GADD45B ITGB1 CACYBP TIMM22 MORF4L1 LMNA LAPTM4A NID2 HSP90AA1 GNB1 HNRNPA2B1 SEPT2 ARSA C6orf25 CD47 TANK ID2 CLK1 CTSE NPTN MCM7 ITM2B KITLG ADH5 B2M ACTG1 CNN3 SKP1 DNAJA1 TMSB4X CALM2 SS18 CTSZ PCNA CA3 THBS1 SERPINB6 EED S100A6 APLP2 BZW1 CCNG1 CDC42 CRIP1 SAT1 S100A10 ANXA2 BAX CAPZA2 SMAD1 SMC2 CD9 CKS1B CYFIP1 CDC6 CTSS SCD ACADM KRT19 POSTN UGDH EMP1 AGR2 ANXA3	0	UP
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	GAS1 CCL2 TNC DDR2 CFH HTRA1 SDC2 CYP1B1 PMP22 TNXB DCN PHGDH PCOLCE S100A8 COL6A2 SPARC VIM COL6A1 PDGFRB SRM FMO1 DAB2 RRAS CXCL1 CDH2 SNAI1 ADA PTHLH HSPG2 MMP2 PTGS1 SERPINH1 IFITM3 GALK1 PLA2G7 MTHFD2 INHBA COL3A1 IFIT1 CDH15 ISG15 SLC3A2 IL11 PTPN22 RNASET2 CSN3 IRF7 MMP13 ASNS CCK PROCR CD68 HIF1A LAMB1 MMP12 CTSB BCL3 STAT1 B2M PDGFRA IFIT3 CTSZ CXCL6 PPIC SLPI VLDLR UPP1 SDC1	0	UP
KEEN_RESPONSE_TO_ROSIGLITAZONE_DN	OGN MGP PTGIS ATF3 IGFBP5 CLU MYH11 RGS2 ANXA1 ACTA2 SERPING1 PMP22 SERPINA3 DUSP1 SPP1 GPX3 EMP3 BHLHE40 ELN MMP9 FXYD5 CCL3 MYLK CPE COL1A2 CXCL2 CSRP1 GMFG LCP1 ENAH CYTIP BGN CD53 GNAI2 SRGN CD34 IL11RA SYN1 C1QB CXCL1 RBP1 CD74 HDC LPP COL3A1 TPM1 BNIP2 BTG3 S100A9 IL1B ARG1 TPM4 TES CD14 NUPR1 S100A11 BPGM PON1 ORM1 ALAS2 DSTN MATR3 MEF2A GADD45B ACTB HIF1A RPL18 GNB1 CAPZB CAPZA1 DNAJB2 PKP4 DYNLL1 ALDH1A1 PTGES3 MAT2B PTEN CYBA SERPINB6 S100A6 RCN2 CGGBP1 DAZAP2 ARG2 CRIP1 SAT1 TMEM59 CD9 LITAF CTSS TXN CLCN3 IL10RB SLC25A1 IL1R2 ANXA3	0	UP
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	UGT2B17 UGT1A8 UGT2A3 UGT1A3 UGT2B15 UGT1A6 UGT1A1 UGT1A9 UGDH ALDH7A1 UGT2B28 ALDH3A2 ALDH2 UGT2B4 ALDH9A1 ALDH1B1 UGT2A1	0	DN
KEGG_BUTANOATE_METABOLISM	EHHADH AKR1B10 ACSM3 HMGCS2 BDH1 ABAT HADH ACADS HMGCS1 ALDH7A1 ACAT1 HMGCL AACS HADHA ECHS1 ALDH3A2 ALDH5A1 PDHA1 ALDH2 ACAT2 BDH2 ALDH9A1 GAD2 PDHA2 ACSM1 L2HGDH PDHB GAD1 ALDH1B1 OXCT2 OXCT1 ACSM5	0	DN
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	UGT2B17 UGT1A8 UGT2A3 UGT1A3 UGT2B15 UGT1A6 UGT1A1 UGT1A9 NAT2 NAT1 XDH UPP1 CDA UCK2 TPMT UGT2B28 CES2 CYP3A5 CYP3A43 GUSB UMPS HPRT1 CYP3A4 CYP3A7 UGT2B4 TK1 ITPA UCKL1 DPYS IMPDH2 CYP2A7 UGT2A1 CYP2A6 TK2 TYMP GMPS CYP2A13 UPB1 IMPDH1 DPYD CES1	0	DN
